count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji,error_person_romaji
10,11.0,11.0,2025/8/7,292,153.6499679,1754549592,2.0,5.0,栗林,Right,TOK,2,batter2,Left,東北大,1,Top,1,2,2,Fastball,FoulBall,Undefined,GroundBall,Undefined,0,0,,122.0,0.562,-0.044,33.03966495,89.48844413,TOK,#217fc4,東大,東北大,#90dcff,東北大, きたぎん_125,B,夏季オープン戦,Normal,,,,,Undefined,,,,,,2521830010,ファール,,3021.0,https://youtu.be/j4edPuUKXyY&t=3021,252.0,,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端,"鈴木,村尾,伊藤,春山,田崎,松本康,荒井孝,堀端,小田","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,R,R,R,R","R,R,L,R,R,R,R,R,R,R","Kazuki, Kuribayashi","Kohei, Matsumoto","Yuichiro, Haruyama","Kota, Arai","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
11,12.0,12.0,2025/8/7,309,171.312788,1754549609,2.0,6.0,栗林,Right,TOK,2,batter2,Left,東北大,1,Top,1,2,2,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,109.0,0.562,0.44,,,TOK,#217fc4,東大,東北大,#90dcff,東北大, きたぎん_126,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521830011,ボール,,3038.0,https://youtu.be/j4edPuUKXyY&t=3038,269.0,,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端,"鈴木,村尾,伊藤,春山,田崎,松本康,荒井孝,堀端,小田","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,R,R,R,R","R,R,L,R,R,R,R,R,R,R","Kazuki, Kuribayashi","Kohei, Matsumoto","Yuichiro, Haruyama","Kota, Arai","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
12,13.0,13.0,2025/8/7,322,184.0101352,1754549622,2.0,7.0,栗林,Right,TOK,2,batter2,Left,東北大,1,Top,1,3,2,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,121.0,1.034,0.112,22.21025426,-120.3112132,TOK,#217fc4,東大,東北大,#90dcff,東北大, きたぎん_127,B,夏季オープン戦,Normal,,,,,Undefined,,,,,,2521830012,ファール,,3051.0,https://youtu.be/j4edPuUKXyY&t=3051,282.0,,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端,"鈴木,村尾,伊藤,春山,田崎,松本康,荒井孝,堀端,小田","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,R,R,R,R","R,R,L,R,R,R,R,R,R,R","Kazuki, Kuribayashi","Kohei, Matsumoto","Yuichiro, Haruyama","Kota, Arai","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
13,14.0,14.0,2025/8/7,342,204.4124711,1754549642,2.0,8.0,栗林,Right,TOK,2,batter2,Left,東北大,1,Top,1,3,2,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,127.0,0.626,0.216,46.36150969,18.55023193,TOK,#217fc4,東大,東北大,#90dcff,東北大, きたぎん_128,B,夏季オープン戦,Normal,,,,,Undefined,,,,"4,3","4,3",2521830013,二ゴ,,3071.0,https://youtu.be/j4edPuUKXyY&t=3071,302.0,,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端,"鈴木,村尾,伊藤,春山,田崎,松本康,荒井孝,堀端,小田","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,R,R,R,R","R,R,L,R,R,R,R,R,R,R","Kazuki, Kuribayashi","Kohei, Matsumoto","Yuichiro, Haruyama","Kota, Arai","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
14,15.0,15.0,2025/8/7,377,238.7642272,1754549677,3.0,1.0,栗林,Right,TOK,3,batter3,Right,東北大,1,Top,2,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,98.0,0.742,0.228,,,TOK,#217fc4,東大,東北大,#90dcff,東北大, きたぎん_129,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521830014,見逃し,,3106.0,https://youtu.be/j4edPuUKXyY&t=3106,333.0,,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端,"鈴木,村尾,伊藤,春山,田崎,松本康,荒井孝,堀端,小田","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,R,R,R,R","R,R,L,R,R,R,R,R,R,R","Kazuki, Kuribayashi","Kohei, Matsumoto","Yuichiro, Haruyama","Kota, Arai","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
15,16.0,16.0,2025/8/7,387,249.3361952,1754549687,3.0,2.0,栗林,Right,TOK,3,batter3,Right,東北大,1,Top,2,0,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,121.0,0.634,-0.244,,,TOK,#217fc4,東大,東北大,#90dcff,東北大, きたぎん_130,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521830015,空振り,,3116.0,https://youtu.be/j4edPuUKXyY&t=3116,343.0,,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端,"鈴木,村尾,伊藤,春山,田崎,松本康,荒井孝,堀端,小田","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,R,R,R,R","R,R,L,R,R,R,R,R,R,R","Kazuki, Kuribayashi","Kohei, Matsumoto","Yuichiro, Haruyama","Kota, Arai","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
16,17.0,17.0,2025/8/7,403,264.8992159,1754549703,3.0,3.0,栗林,Right,TOK,3,batter3,Right,東北大,1,Top,2,0,2,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,118.0,0.123,-0.252,,,TOK,#217fc4,東大,東北大,#90dcff,東北大, きたぎん_131,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521830016,ボール,,3132.0,https://youtu.be/j4edPuUKXyY&t=3132,359.0,,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端,"鈴木,村尾,伊藤,春山,田崎,松本康,荒井孝,堀端,小田","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,R,R,R,R","R,R,L,R,R,R,R,R,R,R","Kazuki, Kuribayashi","Kohei, Matsumoto","Yuichiro, Haruyama","Kota, Arai","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
17,18.0,18.0,2025/8/7,422,283.646497,1754549722,3.0,4.0,栗林,Right,TOK,3,batter3,Right,東北大,1,Top,2,1,2,Cutter,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,113.0,0.602,-0.228,,,TOK,#217fc4,東大,東北大,#90dcff,東北大, きたぎん_132,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521830017,空三振,,3151.0,https://youtu.be/j4edPuUKXyY&t=3151,378.0,,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"鈴木,村尾,伊藤,春山,田崎,松本康,荒井孝,堀端,小田","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,R,R,R,R","R,R,L,R,R,R,R,R,R,R","Kazuki, Kuribayashi",,,,,,,,,,,,,,,
18,1.0,19.0,2025/8/7,557,419.4327331,1754549857,1.0,1.0,pos1,Right,東北大,1,鈴木,Left,TOK,1,Bottom,0,0,0,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,119.0,0.658,0.216,15.62029769,-10.88552705,TOK,#217fc4,東大,東北大,#90dcff,東北大, きたぎん_133,B,夏季オープン戦,Normal,,,,,Undefined,,,,"1,3","1,3",2521830018,投ゴ,,3286.0,https://youtu.be/j4edPuUKXyY&t=3286,397.0,,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"鈴木,村尾,伊藤,春山,田崎,松本康,荒井孝,堀端,小田","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,R,R,R,R,R,R,L,R","R,R,L,R,R,R,R,R,R,R",,,,,,,,,,"Yugo, Suzuki",,,,,,
19,2.0,20.0,2025/8/7,584,446.035398,1754549884,2.0,1.0,pos1,Right,東北大,2,村尾,Right,TOK,1,Bottom,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,122.0,0.87,0.196,,,TOK,#217fc4,東大,東北大,#90dcff,東北大, きたぎん_134,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521830019,見逃し,,3313.0,https://youtu.be/j4edPuUKXyY&t=3313,420.0,,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"鈴木,村尾,伊藤,春山,田崎,松本康,荒井孝,堀端,小田","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,R,R,R,R,R,R,L,R","R,R,L,R,R,R,R,R,R,R",,,,,,,,,,"Murao, Yusaku",,,,,,
