count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,runevent_romaji,scored_person_romaji,run_person_romaji
186,90,180,2025/3/21,6819.40156,4929.401561,1742532754,3,2,江口,Right,TOK,3,batter3,Right,wel,5,Bottom,2,0,1,Fastball,InPlay,Undefined,Popup,Out,1,0,,132,1.03,-0.016,49.47492766,20.59602831,wel,#ff0035,wel,TOK,#217fc4,東大, 牛久運動公園,B,スプリングフレッシュ,Normal,,,,,Undefined,,,,4,4,2507970186,二飛,,6817,https://youtu.be/Uvk1aF-dqb8&t=6817,3939,https://youtu.be/1mcGF9E8muE&t=3939,深見,門田,秋元,佐渡島,小村,荒井慶,岡林,安田,"batter1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","秋元,小村,門田,荒井慶,竹山,佐渡島,岡林,深見,安田","pos1_2,batter9,batter3,batter2,batter7,batter8,batter6,batter1_2,batter4","江口,深見,門田,秋元,佐渡島,小村,荒井慶,岡林,安田","R,R,R,R,R,R,R,R,R,L","L,R,L,R,R,R,L,L,L,L",,"Yuto, Fukami","Ryohei, Kadota","Ryo, Akimoto","Ryo, Sadoshima","Osuke, Komura","Keito, Arai","Yuna, Okabayashi","Ken, Yasuda",,,,,,,,
187,39,181,2025/3/21,7221.943963,5331.943963,1742533156,1,1,pos1_2,Left,wel,9,安田,Left,TOK,6,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,115,1.05,0.347,,,wel,#ff0035,wel,TOK,#217fc4,東大, 牛久運動公園,B,スプリングフレッシュ,Normal,,,,,Nothing,,,,,,2507970187,ボール,,7219,https://youtu.be/Uvk1aF-dqb8&t=7219,3952,https://youtu.be/1mcGF9E8muE&t=3952,batter9,batter3,batter2,batter7,batter8,batter6,batter1_2,batter4,"batter1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","秋元,小村,門田,荒井慶,竹山,佐渡島,岡林,深見,安田","pos1_2,batter9,batter3,batter2,batter7,batter8,batter6,batter1_2,batter4","江口,深見,門田,秋元,佐渡島,小村,荒井慶,岡林,安田","R,R,R,R,R,R,R,R,R,L","L,R,L,R,R,R,L,L,L,L",,,,,,,,,,,"Ken, Yasuda",,,,,,
188,40,182,2025/3/21,7231.465003,5341.465004,1742533166,1,2,pos1_2,Left,wel,9,安田,Left,TOK,6,Top,0,1,0,Fastball,FoulBall,Undefined,GroundBall,Undefined,0,0,,116,0.754,-0.228,37.4991117,65.85445804,wel,#ff0035,wel,TOK,#217fc4,東大, 牛久運動公園,B,スプリングフレッシュ,Normal,,,,,Undefined,,,,,,2507970188,ファール,,7229,https://youtu.be/Uvk1aF-dqb8&t=7229,3961,https://youtu.be/1mcGF9E8muE&t=3961,batter9,batter3,batter2,batter7,batter8,batter6,batter1_2,batter4,"batter1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","秋元,小村,門田,荒井慶,竹山,佐渡島,岡林,深見,安田","pos1_2,batter9,batter3,batter2,batter7,batter8,batter6,batter1_2,batter4","江口,深見,門田,秋元,佐渡島,小村,荒井慶,岡林,安田","R,R,R,R,R,R,R,R,R,L","L,R,L,R,R,R,L,L,L,L",,,,,,,,,,,"Ken, Yasuda",,,,,,
189,41,183,2025/3/21,7248.294187,5358.294188,1742533183,1,3,pos1_2,Left,wel,9,安田,Left,TOK,6,Top,0,1,1,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,107,0.662,-0.407,,,wel,#ff0035,wel,TOK,#217fc4,東大, 牛久運動公園,B,スプリングフレッシュ,Normal,,,,,Nothing,,,,,,2507970189,ボール,,7246,https://youtu.be/Uvk1aF-dqb8&t=7246,3972,https://youtu.be/1mcGF9E8muE&t=3972,batter9,batter3,batter2,batter7,batter8,batter6,batter1_2,batter4,"batter1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","秋元,小村,門田,荒井慶,竹山,佐渡島,岡林,深見,安田","pos1_2,batter9,batter3,batter2,batter7,batter8,batter6,batter1_2,batter4","江口,深見,門田,秋元,佐渡島,小村,荒井慶,岡林,安田","R,R,R,R,R,R,R,R,R,L","L,R,L,R,R,R,L,L,L,L",,,,,,,,,,,"Ken, Yasuda",,,,,,
190,42,184,2025/3/21,7260.340857,5370.340858,1742533195,1,4,pos1_2,Left,wel,9,安田,Left,TOK,6,Top,0,2,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,99,0.23,0.176,,,wel,#ff0035,wel,TOK,#217fc4,東大, 牛久運動公園,B,スプリングフレッシュ,Normal,,,,,Nothing,,,,,,2507970190,ボール,,7258,https://youtu.be/Uvk1aF-dqb8&t=7258,3984,https://youtu.be/1mcGF9E8muE&t=3984,batter9,batter3,batter2,batter7,batter8,batter6,batter1_2,batter4,"batter1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","秋元,小村,門田,荒井慶,竹山,佐渡島,岡林,深見,安田","pos1_2,batter9,batter3,batter2,batter7,batter8,batter6,batter1_2,batter4","江口,深見,門田,秋元,佐渡島,小村,荒井慶,岡林,安田","R,R,R,R,R,R,R,R,R,L","L,R,L,R,R,R,L,L,L,L",,,,,,,,,,,"Ken, Yasuda",,,,,,
191,43,185,2025/3/21,7275.927058,5385.927059,1742533210,1,5,pos1_2,Left,wel,9,安田,Left,TOK,6,Top,0,3,1,Fastball,FoulBall,Undefined,GroundBall,Undefined,0,0,,119,0.674,0.208,43.61394591,66.90317808,wel,#ff0035,wel,TOK,#217fc4,東大, 牛久運動公園,B,スプリングフレッシュ,Normal,,,,,Undefined,,,,,,2507970191,ファール,,7273,https://youtu.be/Uvk1aF-dqb8&t=7273,4000,https://youtu.be/1mcGF9E8muE&t=4000,batter9,batter3,batter2,batter7,batter8,batter6,batter1_2,batter4,"batter1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","秋元,小村,門田,荒井慶,竹山,佐渡島,岡林,深見,安田","pos1_2,batter9,batter3,batter2,batter7,batter8,batter6,batter1_2,batter4","江口,深見,門田,秋元,佐渡島,小村,荒井慶,岡林,安田","R,R,R,R,R,R,R,R,R,L","L,R,L,R,R,R,L,L,L,L",,,,,,,,,,,"Ken, Yasuda",,,,,,
192,44,186,2025/3/21,7295.263912,5405.263912,1742533230,1,6,pos1_2,Left,wel,9,安田,Left,TOK,6,Top,0,3,2,ChangeUp,BallCalled,Walk,Undefined,Undefined,0,0,,119,0.29,0.28,,,wel,#ff0035,wel,TOK,#217fc4,東大, 牛久運動公園,B,スプリングフレッシュ,Normal,,,,,Nothing,,,,,,2507970192,四球,,7293,https://youtu.be/Uvk1aF-dqb8&t=7293,4015,https://youtu.be/1mcGF9E8muE&t=4015,batter9,batter3,batter2,batter7,batter8,batter6,batter1_2,batter4,"batter1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","秋元,小村,門田,荒井慶,竹山,佐渡島,岡林,深見,安田","pos1_2,batter9,batter3,batter2,batter7,batter8,batter6,batter1_2,batter4","江口,深見,門田,秋元,佐渡島,小村,荒井慶,岡林,安田","R,R,R,R,R,R,R,R,R,L","L,R,L,R,R,R,L,L,L,L",,,,,,,,,,,"Ken, Yasuda",,,,,,
193,1,187,2025/3/21,7461.360585,5571.360585,1742533396,2,1,pos1_3,Right,wel,1,秋元,Right,TOK,6,Top,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,A2SR1,122,0.662,-0.28,,,wel,#ff0035,wel,TOK,#217fc4,東大, 牛久運動公園,B,スプリングフレッシュ,Normal,1,安田,,,StolenBase,安田,,,,,2507970193,見逃し[盗塁],,7459,https://youtu.be/Uvk1aF-dqb8&t=7459,4026,https://youtu.be/1mcGF9E8muE&t=4026,batter9,batter3,batter2,batter7,batter8,batter6,batter1_2,batter4,"batter1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","秋元,小村,門田,荒井慶,竹山,佐渡島,岡林,深見,安田","pos1_3,batter9,batter3,batter2,batter7,batter8,batter6,batter1_2,batter4","江口,深見,門田,秋元,佐渡島,小村,荒井慶,岡林,安田","R,R,R,R,R,R,R,R,R,L","R,R,L,R,R,R,L,L,L,L",,,,,,,,,,,"Ryo, Akimoto","Ken, Yasuda",,,,,"Ken, Yasuda"
194,2,188,2025/3/21,7494.608802,5604.608803,1742533429,2,2,pos1_3,Right,wel,1,秋元,Right,TOK,6,Top,0,0,1,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,,0.666,0.04,36.56032489,-14.48473356,wel,#ff0035,wel,TOK,#217fc4,東大, 牛久運動公園,B,スプリングフレッシュ,Normal,2,,安田,,Undefined,,,,"6,3","6,3A",2507970194,遊ゴ,,7492,https://youtu.be/Uvk1aF-dqb8&t=7492,4059,https://youtu.be/1mcGF9E8muE&t=4059,batter9,batter3,batter2,batter7,batter8,batter6,batter1_2,batter4,"batter1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","秋元,小村,門田,荒井慶,竹山,佐渡島,岡林,深見,安田","pos1_3,batter9,batter3,batter2,batter7,batter8,batter6,batter1_2,batter4","江口,深見,門田,秋元,佐渡島,小村,荒井慶,岡林,安田","R,R,R,R,R,R,R,R,R,L","R,R,L,R,R,R,L,L,L,L",,,,,,,,,,,"Ryo, Akimoto",,"Ken, Yasuda",,,,
195,3,189,2025/3/21,7518.250201,5628.250202,1742533453,3,1,pos1_3,Right,wel,2,小村,Left,TOK,6,Top,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,122,0.618,-0.216,,,wel,#ff0035,wel,TOK,#217fc4,東大, 牛久運動公園,B,スプリングフレッシュ,Normal,3,,,安田,Nothing,,,,,,2507970195,見逃し,,7516,https://youtu.be/Uvk1aF-dqb8&t=7516,4059,https://youtu.be/1mcGF9E8muE&t=4059,batter9,batter3,batter2,batter7,batter8,batter6,batter1_2,batter4,"batter1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","秋元,小村,門田,荒井慶,竹山,佐渡島,岡林,深見,安田","pos1_3,batter9,batter3,batter2,batter7,batter8,batter6,batter1_2,batter4","江口,深見,門田,秋元,佐渡島,小村,荒井慶,岡林,安田","R,R,R,R,R,R,R,R,R,L","R,R,L,R,R,R,L,L,L,L",,,,,,,,,,,"Osuke, Komura",,,"Ken, Yasuda",,,
